"Compound_ID","MOA"
"Amiloride HCl","sodium channel blocker"
"Amiloride HCl dihydrate","sodium channel blocker"
"Aminoglutethimide","glucocorticoid receptor antagonist"
"Aminoguanidine hydrochloride","nitric oxide synthase inhibitor"
"Aminophylline","adenosine receptor antagonist"
"Aminothiazole","cyclin D inhibitor"
"Amiodarone HCl","potassium channel blocker"
"Amisulpride","dopamine receptor antagonist"
"Amitraz","adrenergic receptor agonist"
"Amitriptyline HCl","serotoninâ€“norepinephrine reuptake inhibitor (SNRI), norepinephrine reuptake inhibitor, norepinephrine inhibitor, serotonin receptor antagonist"
"Amlexanox","histamine receptor modulator"
"Amlodipine","calcium channel blocker"
"Amlodipine Besylate","calcium channel blocker"
"Amodiaquine","histamine receptor agonist"
"Amodiaquine dihydrochloride dihydrate","histamine receptor agonist"
"Amodiaquine hydrochloride","histamine receptor agonist"
"Amonafide","topoisomerase inhibitor"
"Amorolfine HCl","membrane integrity inhibitor"
"Amoxapine","norepinephrine reputake inhibitor"
"Amoxicillin","penicillin binding protein inhibitor"
"Amoxicillin Sodium","penicillin binding protein inhibitor"
"Amoxicillin trihydrate","penicillin binding protein inhibitor"
"Amphotericin B","membrane permeability enhancer"
"Ampicillin sodium","bacterial cell wall synthesis inhibitor"
"Ampicillin Trihydrate","bacterial cell wall synthesis inhibitor"
"Ampiroxicam","cyclooxygenase inhibitor"
"Amprenavir","HIV protease inhibitor"
"Amprolium HCl","thiamine uptake blocker"
"Amsacrine hydrochloride","topoisomerase inhibitor"
"Amuvatinib (MP-470)","PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, RAD51 inhibitor, FLT3 inhibitor, KIT inhibitor"
"Amylmetacresol","bacterial cell wall synthesis inhibitor"
"Anacetrapib (MK-0859)","cholesteryl ester transfer protein inhibitor"
"Anagliptin","dipeptidyl peptidase inhibitor"
"Anagrelide HCl","phosphodiesterase inhibitor"
"Anamorelin","growth hormone secretagogue receptor agonist"
"Anastrozole","aromatase inhibitor"
"Andarine","androgen receptor modulator"
"Andrographolide","tumor necrosis factor production inhibitor"
"Androsterone","androgen receptor agonist"
"Anethole trithione","glutathione transferase stimulant"
"Angiotensin II human Acetate","angiotensin receptor antagonist"
"Anidulafungin (LY303366)","bacterial cell wall synthesis inhibitor"
"Aniracetam","glutamate receptor agonist"
"Anisindione","vitamin K antagonist"
"Anisodamine Hydrobromide","cyclooxygenase inhibitor"
"Anlotinib (AL3818) dihydrochloride","VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Antazoline HCl","antihistamine"
"Antipyrine","cyclooxygenase inhibitor"
"AP26113","ALK tyrosine kinase receptor inhibitor, EGFR inhibitor"
"Apabetalone (RVX-208)","apolipoprotein expression enhancer"
"Apalutamide?(ARN-509)","androgen receptor antagonist"
"Apatinib","RET tyrosine kinase inhibitor"
"Apicidin","HDAC inhibitor"
"Apigenin","casein kinase inhibitor, cell proliferation inhibitor"
"Apixaban","coagulation factor inhibitor"
"Apocynin","NADPH oxidase inhibitor"
"Apoptosis Activator 2","carboxylesterase inhibitor"
"APR-246 (PRIMA-1MET)","p53 activator"
"Apraclonidine HCl","adrenergic receptor agonist"
"Apramycin Sulfate","bacterial cell wall synthesis inhibitor"
"Apremilast (CC-10004)","phosphodiesterase inhibitor"
"Aprepitant","tachykinin antagonist"
"Apronal","cytochrome P450 modulator"
"Aprotinin","serine protease inhibitor"
"AR-42","HDAC inhibitor"
"AR-A014418","glycogen synthase kinase inhibitor"
"Arbidol HCl","cytochrome P450 inhibitor"
"Arbutin","melanin inhibitor"
"Arecoline","acetylcholine receptor agonist"
"Arecoline HBr","acetylcholine receptor agonist"
"Argatroban","thrombin inhibitor"
"Aripiprazole","serotonin receptor agonist, serotonin receptor antagonist"
"Artemether","antimalarial agent"
"Artemisinin","DNA synthesis inhibitor"
"Artesunate","DNA synthesis inhibitor"
"Articaine HCl","local anesthetic"
"AS-252424","PI3K inhibitor"
"AS-604850","PI3K inhibitor"
"AS101","cyclooxygenase inhibitor"
"Asaraldehyde","cyclooxygenase inhibitor"
"Asciminib (ABL001)","Bcr-Abl kinase inhibitor"
"Ascomycin (FK520)","bacterial cell wall synthesis inhibitor"
"Asenapine","dopamine receptor antagonist, serotonin receptor antagonist"
"Asenapine maleate","adrenergic receptor antagonist"
"Asiatic Acid","apoptosis stimulant"
"Aspirin","cyclooxygenase inhibitor"
"AST-1306","EGFR inhibitor"
"Astragaloside A","antiinflammatory agent"
"Asunaprevir","HCV inhibitor"
"AT101","BCL inhibitor, MCL1 inhibitor"
"AT13387","HSP antagonist"
"AT406 (SM-406)","apoptosis stimulant"
"AT7519 HCl","CDK inhibitor"
"AT7867","AKT inhibitor"
"AT9283","JAK inhibitor, Aurora kinase inhibitor"
"Ataluren (PTC124)","CFTR channel agonist, dystrophin stimulant"
"Atazanavir Sulfate","HIV protease inhibitor"
"Atenolol","acetylcholine receptor agonist, adrenergic receptor antagonist"
"Atglistatin","adipose triglyceride lipase inhibitor"
"Atipamezole","adrenergic receptor antagonist"
"Atomoxetine HCl","norepinephrine transporter inhibitor"
"atorvastatin","HMGCR inhibitor"
"Atorvastatin Calcium","HMGCR inhibitor"
"Atosiban Acetate","vasopressin receptor agonist"
"Atovaquone","mitochondrial electron transport inhibitor"
"Atracurium Besylate","acetylcholine receptor antagonist"
"Atropine","acetylcholine receptor antagonist"
"Atropine sulfate","acetylcholine receptor antagonist"
"Atropine sulfate monohydrate","acetylcholine receptor antagonist"
"Aucubin","cyclooxygenase inhibitor"
"Auranofin","NFkB pathway inhibitor"
"Aurora A Inhibitor I","Aurora kinase inhibitor"
"AUY922","HSP inhibitor"
"Avadomide(CC-122)","CBRN inhibitor"
"Avagacestat (BMS-708163)","gamma secretase inhibitor"
"Avanafil","phosphodiesterase inhibitor"
"Avasimibe","ACAT inhibitor"
"Avatrombopag","thrombopoietin receptor agonist"
"Avermectin B1","bacterial cell wall synthesis inhibitor"
"Avibactam sodium","bacterial cell wall synthesis inhibitor"
"Avitinib (AC0010)","EGFR inhibitor"
"Avobenzone","UV blocker"
"Axitinib","VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"AZ 3146","monopolar spindle 1 kinase inhibitor"
"AZ 628","RAF inhibitor"
"AZ 960","JAK inhibitor"
"AZ191","DYRK inhibitor"
"AZ20","ATR kinase inhibitor"
"Azacitidine","DNA methyltransferase inhibitor"
"Azacyclonol","histamine receptor antagonist"
"Azaguanine-8","purine antagonist"
"Azaperone","dopamine receptor antagonist"
"Azasetron HCl","serotonin receptor antagonist"
"Azatadine dimaleate","histamine receptor antagonist"
"Azathioprine","dehydrogenase inhibitor"
"Azathramycin","bacterial cell wall synthesis inhibitor"
"AZD-5069","CC chemokine receptor antagonist"
"AZD1080","glycogen synthase kinase inhibitor"
"AZD1981","CRTH receptor antagonist"
"AZD2014","mTOR inhibitor"
"AZD2461","PARP inhibitor"
"AZD2858","glycogen synthase kinase inhibitor"
"AZD3463","insulin growth factor receptor inhibitor, ALK tyrosine kinase receptor inhibitor"
"AZD3514","androgen receptor modulator"
"AZD3759","EGFR inhibitor"
"AZD4547","FGFR inhibitor"
"AZD5363","AKT inhibitor"
"AZD5438","CDK inhibitor"
"AZD6482","PI3K inhibitor"
"AZD6738","ATR kinase inhibitor"
"AZD7545","pyruvate dehydrogenase kinase inhibitor"
"AZD7648","DNA dependent protein kinase inhibitor"
"AZD7762","CHK inhibitor"
"AZD8055","mTOR inhibitor"
"AZD8186","PI3K inhibitor"
"AZD8330","MEK inhibitor"
"Azelaic acid","tyrosinase inhibitor"
"Azelastine HCl","histamine receptor antagonist"
"Azeliragon","RAGE receptor antagonist"
"Azelnidipine","calcium channel blocker"
"Azilsartan","angiotensin receptor antagonist"
"Azilsartan Medoxomil","angiotensin receptor antagonist"
"Azithromycin","bacterial 50S ribosomal subunit inhibitor"
"Azithromycin Dihydrate","bacterial cell wall synthesis inhibitor"
"Azlocillin sodium salt","bacterial cell wall synthesis inhibitor"
"Azodicarbonamide","DNA synthesis inhibitor"
"Azomycin","protein synthesis inhibitor"
"Aztreonam","bacterial cell wall synthesis inhibitor"
"Bacitracin","bacterial cell wall synthesis inhibitor"
"Bacitracin Zinc","bacterial cell wall synthesis inhibitor"
"BAF312 (Siponimod)","sphingosine phosphate receptor modulator"
"Baicalein","lipoxygenase inhibitor"
"Baicalin","beta glucuronidase inhibitor"
"Balofloxacin Dihydrate","bacterial DNA gyrase inhibitor"
"Baloxavir marboxil","bacterial cell wall synthesis inhibitor"
"Balsalazide disodium","cyclooxygenase inhibitor"
"BAM7","BAX activator"
"Bambuterol HCl","adrenergic receptor agonist"
"Barasertib (AZD1152-HQPA)","Aurora kinase inhibitor"
"Bardoxolone Methyl","IKK inhibitor"
"Baricitinib (LY3009104. INCB028050)","JAK inhibitor"
"Baricitinib phosphate","JAK inhibitor"
"Batimastat (BB-94)","matrix metalloprotease inhibitor"
"Batyl alcohol","cyclooxygenase inhibitor"
"BAY 11-7082","NFkB pathway inhibitor"
"Bazedoxifene Acetate","selective estrogen receptor modulator (SERM)"
"Bazedoxifene HCl","selective estrogen receptor modulator (SERM)"
"Beclomethasone dipropionate","glucocorticoid receptor agonist"
"Bedaquiline","ATPase inhibitor"
"Belinostat (PXD101)","HDAC inhibitor"
"Belotecan (CKD-602) hydrochloride","topoisomerase inhibitor"
"Bemegride","chemoreceptor agonist"
"Benactyzine hydrochloride","acetylcholine receptor antagonist"
"Benazepril","angiotensin converting enzyme inhibitor"
"Bendamustine","DNA inhibitor"
"Bendazac","cyclooxygenase inhibitor"
"Bendroflumethiazide","sodium/potassium/chloride transporter inhibitor"
"Benidipine HCl","calcium channel blocker"
"Benorylate","cyclooxygenase inhibitor"
"Benproperine phosphate","antitussive"
"Benserazide HCl","DOPA decarboxylase inhibitor"
"Bentamapimod","JNK inhibitor"
"Benzalkonium chloride","cyclooxygenase inhibitor"
"Benzathine penicilline","bacterial cell wall synthesis inhibitor"
"Benzbromarone","chloride channel blocker"
"Benzenesulfonamide","carbonic anhydrase inhibitor"
"Benzethonium Chloride","sodium channel blocker"
"Benznidazole","DNA synthesis inhibitor"
"Benzocaine hydrochloride","sodium channel blocker"
"Benzoic Acid","food preservative"
"Benzonatate","local anesthetic"
"Benzthiazide","carbonic anhydrase inhibitor"
"Benztropine mesylate","histamine receptor antagonist"
"Benzydamine HCl","prostanoid receptor antagonist"
"Benzyl alcohol","local anesthetic"
"Benzyl benzoate","lipase inhibitor"
"Benzyl isothiocyanate","methylazoxymethanol acetate inhibitor"
"Benzylpenicillin potassium","bacterial cell wall synthesis inhibitor"
"Bepotastine","histamine receptor antagonist"
"Bepridil hydrochloride","calcium channel blocker"
"Berbamine","Bcr-Abl kinase inhibitor"
"Berberine","LDL receptor activator"
"Berberine chloride","LDL receptor activator"
"Berberine HCl","LDL receptor activator"
"Berberine Sulfate","LDL receptor activator"
"Bergenin","interleukin inhibitor"
"Besifloxacin HCl","bacterial DNA gyrase inhibitor"
"Besifovir","bacterial cell wall synthesis inhibitor"
"Bestatin","leukotriene synthesis inhibitor"
"Beta-Lapachone","topoisomerase inhibitor"
"Betahistine","histamine receptor agonist, histamine receptor antagonist"
"Betahistine 2HCl","histamine receptor agonist, histamine receptor antagonist"
"Betahistine mesylate","histamine receptor agonist, histamine receptor antagonist"
"Betaine","nitric oxide donor"
"Betamethasone","glucocorticoid receptor agonist, anti-inflammatory agent"
"Betamethasone Dipropionate","anti-inflammatory agent"
"Betamethasone Valerate","glucocorticoid receptor agonist"
"Betamipron","panipenem uptake inhibitor"
"Betaxolol","adrenergic receptor antagonist"
"Bethanechol chloride","acetylcholine receptor agonist"
"Betrixaban","coagulation factor inhibitor"
"Betulin","NFkB pathway inhibitor, apoptosis stimulant, ACAT inhibitor, sterol regulatory element binding protein (SREBP) inhibitor"
"Betulinic acid","NFkB pathway inhibitor, apoptosis stimulant"
"Bevantolol hydrochloride","adrenergic receptor antagonist"
"Bexarotene","retinoid receptor agonist"
"BEZ235 (NVP-BEZ235. Dactolisib)","PI3K inhibitor, mTOR inhibitor"
"Bezafibrate","PPAR receptor agonist"
"BGJ398 (NVP-BGJ398|Infigratinib)","FGFR inhibitor"
"BGP-15 2HCl","PARP inhibitor"
"BGT226 (NVP-BGT226)","PI3K inhibitor"
"BI 2536","PLK inhibitor"
"BI-D1870","ribosomal protein inhibitor"
"Biapenem","bacterial cell wall synthesis inhibitor"
"BIBR 1532","telomerase inhibitor"
"Bicalutamide","androgen receptor antagonist"
"Bictegravir","HIV integrase inhibitor"
"Bicyclol","NFkB pathway inhibitor"
"Bifendate","nucleoside reverse transcriptase inhibitor"
"Bifonazole","sterol demethylase inhibitor"
"BIIB021","HSP inhibitor"
"Bilastine","histamine receptor antagonist"
"Bilobalide","GABA receptor modulator"
"Bimatoprost","prostanoid receptor agonist"
"Bimiralisib (PQR309)","PI3K inhibitor"
"Bindarit","NFkB pathway inhibitor"
"Binimetinib (MEK162. ARRY-162. ARRY-438162)","MEK inhibitor"
"BIO","glycogen synthase kinase inhibitor"
"Biochanin A","protein tyrosine kinase inhibitor"
"Biotin (Vitamin B7)","vitamin B"
"Biperiden HCl","acetylcholine receptor antagonist"
"BIRB 796 (Doramapimod)","p38 MAPK inhibitor"
"Birinapant","XIAP inhibitor"
"Bisacodyl","laxative"
"Bismuth Subcitrate Potassium","bacterial cell wall synthesis inhibitor"
"Bisoprolol fumarate","adrenergic receptor antagonist"
"Bisphenol A","synthetic estrogen"
"Bithionol","autotaxin inhibitor"
"Bivalirudin Trifluoroacetate","vasopressin receptor agonist"
"BIX 01294","histone lysine methyltransferase inhibitor"
"BIX 02188","MEK inhibitor"
"BIX 02189","MEK inhibitor"
"Bleomycin sulfate","DNA synthesis inhibitor"
"Bleomycin Sulfate","DNA synthesis inhibitor"
"BLZ945","CSF1R inhibitor"
"BML-190","cannabinoid receptor inverse agonist"
"BMN 673","PARP inhibitor"
"BMS-265246","CDK inhibitor"
"BMS-345541","IKK inhibitor"
"BMS-378806","HIV attachment inhibitor"
"BMS-707035","HIV integrase inhibitor"
"BMS-754807","IGF-1 inhibitor"
"BMS-777607","hepatocyte growth factor receptor inhibitor, c-Met inhibitor, macrophage migration inhibiting factor inhibitor, AXL kinase inhibitor, FLT3 inhibitor, tyrosine kinase inhibitor"
"BMS-794833","Bcr-Abl kinase inhibitor"
"BMS-833923","smoothened receptor antagonist"
"BMS-986205","indoleamine 2,3-dioxygenase inhibitor"
"BMY 7378","serotonin receptor antagonist, adrenergic receptor antagonist"
"Boceprevir","HCV inhibitor"
"Borneol","TRPV antagonist"
"Bornyl acetate","cyclooxygenase inhibitor"
"Bortezomib","proteasome inhibitor, NFkB pathway inhibitor"
"Bosentan Hydrate","endothelin receptor antagonist"
"Bosutinib (SKI-606)","src inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor"
"Branaplam (LMI070)","survival motor neuron protein modulator"
"Brefeldin A","protein synthesis inhibitor"
"Brequinar","dihydroorotate dehydrogenase inhibitor"
"Brexpiprazole","dopamine receptor partial agonist"
"Brigatinib (AP26113)","ALK tyrosine kinase receptor inhibitor, EGFR inhibitor"
"Brimonidine Tartrate","adrenergic receptor agonist"
"Brinzolamide","carbonic anhydrase inhibitor"
"Brivanib (BMS-540215)","FGFR inhibitor, VEGFR inhibitor"
"Brivanib Alaninate (BMS-582664)","FGFR inhibitor, VEGFR inhibitor"
"Brivudine","DNA directed DNA polymerase inhibitor"
"BRL-15572","serotonin receptor antagonist"
"BRL-54443","serotonin receptor agonist"
"Bromfenac Sodium","cyclooxygenase inhibitor"
"Bromhexine","mucolytic agent"
"Bromisoval","anti-inflammatory agent"
"Bromosporine","bromodomain inhibitor"
"Brompheniramine hydrogen maleate","histamine receptor antagonist"
"Bronopol","bacterial cell wall synthesis inhibitor"
"Broxyquinoline","antiprotozoal agent"
"Brucine sulfate salt hydrate","glycine receptor antagonist"
"BS-181 HCl","CDK inhibitor"
"BTB06584","ATPase inhibitor"
"BTZ043 Racemate","DPRE1 inhibitor"
"Budesonide","glucocorticoid receptor agonist"
"Bufexamac","cyclooxygenase inhibitor"
"Buflomedil HCl","calcium channel blocker, adrenergic receptor antagonist"
"Bumetanide","solute carrier family member inhibitor"
"Buparlisib (BKM120. NVP-BKM120)","PI3K inhibitor"
"Buparvaquone","antiprotozoal agent"
"Bupivacaine HCl","sodium channel blocker"
"Buspirone HCl","serotonin receptor agonist"
"Busulfan","DNA inhibitor"
"Butamben","sodium channel blocker"
"Butein","src inhibitor, EGFR inhibitor"
"Butenafine HCl","fungal squalene epoxidase inhibitor"
"Butoconazole","bacterial cell wall synthesis inhibitor"
"Butylated hydroxytoluene","carbonic anhydrase inhibitor"
"Butylparaben","DNA synthesis inhibitor"
"BX-795","IKK inhibitor"
"BX-912","pyruvate dehydrogenase kinase inhibitor"
"C646","histone acetyltransferase inhibitor"
"Cabazitaxel","microtubule inhibitor"
"Cabergoline","dopamine receptor agonist"
"Cabotegravir (GSK744. GSK1265744)","HIV integrase inhibitor"
"Cabozantinib (XL184. BMS-907351)","VEGFR inhibitor, RET tyrosine kinase inhibitor"
"Cabozantinib malate (XL184)","VEGFR inhibitor"
"Caffeic Acid","tumor necrosis factor production inhibitor, nitric oxide production inhibitor, lipoxygenase inhibitor, HIV integrase inhibitor"
"Caffeic Acid Phenethyl Ester","HIV integrase inhibitor"
"CAL-101 (Idelalisib. GS-1101)","PI3K inhibitor"
"Calcifediol","vitamin D receptor agonist"
"Calcipotriene","vitamin D receptor agonist"
"Calcitriol","vitamin D receptor agonist"
"Camostat Mesilate","protease inhibitor"
"Camphor","TRPV antagonist"
"Camptothecin","topoisomerase inhibitor"
"Canagliflozin","sodium/glucose cotransporter inhibitor"
"Canagliflozin hemihydrate","sodium/glucose cotransporter inhibitor"
"Candesartan","angiotensin receptor antagonist"
"Candesartan Cilexetil","angiotensin receptor antagonist"
"Canertinib (CI-1033)","EGFR inhibitor"
"Cangrelor Tetrasodium","purinergic receptor antagonist"
"Canrenone","mineralocorticoid receptor antagonist"
"Capecitabine","DNA synthesis inhibitor, thymidylate synthase inhibitor"
"Capreomycin Sulfate","bacterial cell wall synthesis inhibitor"
